ProductID,Product,Category,Segment,ManufacturerID,Manufacturer,Unit Cost,Unit Price
392,Maximus RP-01,Rural,Productivity,7,VanArsdel,37.2710625,51.05625
393,Maximus RP-02,Rural,Productivity,7,VanArsdel,37.2710625,51.05625
394,Maximus RS-01,Rural,Select,7,VanArsdel,119.7617925,164.05725
396,Maximus UM-01,Accessory,Accessory,7,VanArsdel,66.2830875,90.79875
397,Maximus UM-02,Accessory,Accessory,7,VanArsdel,109.2224175,149.61975
398,Maximus UM-03,Accessory,Accessory,7,VanArsdel,114.9711675,157.49475
400,Maximus UM-05,Accessory,Accessory,7,VanArsdel,61.6840875,84.49875
402,Maximus UM-07,Accessory,Accessory,7,VanArsdel,74.7299175,102.36975
403,Maximus UM-08,Accessory,Accessory,7,VanArsdel,83.1154275,113.85675
404,Maximus UM-09,Accessory,Accessory,7,VanArsdel,136.0499175,186.36975
405,Maximus UM-10,Accessory,Accessory,7,VanArsdel,139.8824175,191.61975
406,Maximus UM-11,Accessory,Accessory,7,VanArsdel,139.8824175,191.61975
407,Maximus UM-12,Accessory,Accessory,7,VanArsdel,116.8874175,160.11975
408,Maximus UM-13,Urban,Moderation,7,VanArsdel,99.6411675,136.49475
409,Maximus UM-14,Urban,Moderation,7,VanArsdel,70.556325,96.6525
410,Maximus UM-15,Urban,Moderation,7,VanArsdel,107.6740875,147.49875
412,Maximus UM-17,Urban,Moderation,7,VanArsdel,118.8036675,162.74475
415,Maximus UM-20,Urban,Moderation,7,VanArsdel,65.1486675,89.24475
416,Maximus UM-21,Urban,Moderation,7,VanArsdel,65.9151675,90.29475
417,Maximus UM-22,Urban,Moderation,7,VanArsdel,67.7854275,92.85675
418,Maximus UM-23,Urban,Moderation,7,VanArsdel,67.1645625,92.00625
419,Maximus UM-24,Urban,Moderation,7,VanArsdel,114.1510125,156.37125
420,Maximus UM-25,Urban,Moderation,7,VanArsdel,89.182275,122.1675
421,Maximus UM-26,Urban,Moderation,7,VanArsdel,128.3849175,175.86975
423,Maximus UM-28,Urban,Moderation,7,VanArsdel,76.0942875,104.23875
424,Maximus UM-29,Urban,Moderation,7,VanArsdel,124.5524175,170.61975
425,Maximus UM-30,Urban,Moderation,7,VanArsdel,73.852275,101.1675
426,Maximus UM-31,Urban,Moderation,7,VanArsdel,67.8160875,92.89875
427,Maximus UM-32,Urban,Moderation,7,VanArsdel,74.0630625,101.45625
428,Maximus UM-33,Urban,Moderation,7,VanArsdel,86.2274175,118.11975
429,Maximus UM-34,Urban,Moderation,7,VanArsdel,137.9661675,188.99475
430,Maximus UM-35,Urban,Moderation,7,VanArsdel,65.8691775,90.23175
431,Maximus UM-36,Urban,Moderation,7,VanArsdel,75.1131675,102.89475
433,Maximus UM-38,Urban,Moderation,7,VanArsdel,73.5801675,100.79475
435,Maximus UM-40,Urban,Moderation,7,VanArsdel,122.6208375,167.97375
436,Maximus UM-41,Urban,Moderation,7,VanArsdel,136.015425,186.3225
438,Maximus UM-43,Urban,Moderation,7,VanArsdel,73.5801675,100.79475
439,Maximus UM-44,Urban,Moderation,7,VanArsdel,78.8996775,108.08175
440,Maximus UM-45,Urban,Moderation,7,VanArsdel,118.8036675,162.74475
443,Maximus UM-48,Urban,Moderation,7,VanArsdel,65.1486675,89.24475
444,Maximus UM-49,Urban,Moderation,7,VanArsdel,80.4786675,110.24475
445,Maximus UM-50,Urban,Moderation,7,VanArsdel,65.1333375,89.22375
447,Maximus UM-52,Urban,Moderation,7,VanArsdel,109.5903375,150.12375
449,Maximus UM-54,Urban,Moderation,7,VanArsdel,74.7299175,102.36975
450,Maximus UM-55,Urban,Moderation,7,VanArsdel,125.3189175,171.66975
451,Maximus UM-56,Urban,Moderation,7,VanArsdel,66.4900425,91.08225
452,Maximus UM-57,Urban,Moderation,7,VanArsdel,79.7121675,109.19475
456,Maximus UM-61,Urban,Moderation,7,VanArsdel,86.2274175,118.11975
457,Maximus UM-62,Urban,Moderation,7,VanArsdel,73.5801675,100.79475
458,Maximus UM-63,Urban,Moderation,7,VanArsdel,130.3011675,178.49475
459,Maximus UM-64,Urban,Moderation,7,VanArsdel,73.5648375,100.77375
460,Maximus UM-65,Urban,Moderation,7,VanArsdel,65.1333375,89.22375
461,Maximus UM-66,Urban,Moderation,7,VanArsdel,82.3949175,112.86975
462,Maximus UM-67,Urban,Moderation,7,VanArsdel,147.9306675,202.64475
465,Maximus UM-70,Urban,Moderation,7,VanArsdel,86.2274175,118.11975
466,Maximus UM-71,Urban,Moderation,7,VanArsdel,67.2105525,92.06925
467,Maximus UM-72,Urban,Moderation,7,VanArsdel,65.2866375,89.43375
470,Maximus UM-75,Urban,Moderation,7,VanArsdel,74.7299175,102.36975
471,Maximus UM-76,Urban,Moderation,7,VanArsdel,67.0649175,91.86975
473,Maximus UM-78,Urban,Moderation,7,VanArsdel,112.253925,153.7725
475,Maximus UM-80,Urban,Moderation,7,VanArsdel,75.7302,103.74
476,Maximus UM-81,Urban,Moderation,7,VanArsdel,142.7567925,195.55725
477,Maximus UM-82,Urban,Moderation,7,VanArsdel,99.9784275,136.95675
478,Maximus UM-83,Urban,Moderation,7,VanArsdel,103.4736675,141.74475
481,Maximus UM-86,Urban,Moderation,7,VanArsdel,57.0850875,78.19875
483,Maximus UM-88,Urban,Moderation,7,VanArsdel,118.8036675,162.74475
487,Maximus UM-92,Urban,Moderation,7,VanArsdel,80.4786675,110.24475
489,Maximus UM-94,Urban,Moderation,7,VanArsdel,73.7717925,101.05725
490,Maximus UM-95,Urban,Moderation,7,VanArsdel,47.791275,65.4675
491,Maximus UM-96,Urban,Moderation,7,VanArsdel,63.4470375,86.91375
492,Maximus UM-97,Urban,Moderation,7,VanArsdel,65.8691775,90.23175
494,Maximus UM-99,Urban,Moderation,7,VanArsdel,117.6539175,161.16975
